company,product_name,review_text,rating,date,sentiment
Apple,iPhone 14,Camera quality ok but not great.,1,2020-12-24,Negative
Realme,Realme 6,Amazing speed and smooth gaming.,5,2022-08-25,Positive
Xiaomi,Redmi Note 12,Display quality next level 🔥,4,2021-01-26,Positive
Vivo,V23,"Battery life average, one day matrame.",3,2021-05-19,Neutral
Oppo,Reno 6,"Performance top notch, lag e ledhu.",5,2023-07-23,Positive
Nokia,5.4,"Camera super ga undi, performance bagundi.",5,2021-05-08,Positive
Motorola,G32,Display quality next level 🔥,5,2023-03-02,Positive
Samsung,S20,Charging time ekkuva padutundi.,1,2023-08-07,Negative
Poco,X3,Charging time ekkuva padutundi.,1,2023-12-15,Negative
Motorola,G22,Cost ekkuva but features super.,5,2023-11-25,Positive
Vivo,V19,Gaming chesthe heat ekkuva avutundi.,1,2020-08-30,Negative
Motorola,G22,Display quality next level 🔥,4,2023-05-24,Positive
Motorola,G32,Cost ekkuva but features super.,5,2023-11-08,Positive
OnePlus,9 Pro,"Heating issue vachesindi, not good.",1,2022-01-25,Negative
Motorola,G10,Amazing speed and smooth gaming.,5,2024-01-15,Positive
Samsung,S22,"Camera super ga undi, performance bagundi.",5,2020-10-24,Positive
Nokia,C21,"Camera super ga undi, performance bagundi.",4,2020-08-14,Positive
Xiaomi,Redmi Note 11,"Heating issue vachesindi, not good.",1,2024-08-11,Negative
Oppo,A52,"Price thakkuva undali, too costly.",1,2020-04-18,Negative
Xiaomi,Redmi Note 10,"Battery life average, one day matrame.",3,2023-03-22,Neutral
Realme,Realme 11,Charging time ekkuva padutundi.,1,2021-07-11,Negative
Xiaomi,Redmi Note 12,"Price kuda parvaledu, value for money.",3,2023-04-07,Neutral
Xiaomi,Redmi Note 10,Gaming chesthe heat ekkuva avutundi.,2,2024-06-24,Negative
Oppo,Reno 8,Performance slow ga undi.,1,2024-06-14,Negative
Vivo,V25,"Camera parvaledu, not bad.",3,2024-06-21,Neutral
Samsung,S22,"Battery baaga hold chestundi, heavy usage lo kuda.",5,2024-02-29,Positive
Xiaomi,Redmi Note 12,"Screen quality average, not impressed.",2,2023-02-26,Negative
Oppo,A74,"Camera super ga undi, performance bagundi.",4,2021-04-05,Positive
Motorola,G32,Gaming chesthe heat ekkuva avutundi.,1,2020-02-23,Negative
Apple,iPhone 11,Display quality next level 🔥,5,2024-03-22,Positive
Vivo,V17,"Design chala attractive ga undi, worth buying.",5,2023-08-03,Positive
OnePlus,8T,"Sound system fine, not too loud.",3,2021-12-16,Neutral
Motorola,G9,Performance slow ga undi.,2,2020-03-02,Negative
OnePlus,7T,"Camera super ga undi, performance bagundi.",5,2023-05-27,Positive
Oppo,A52,"Design chala attractive ga undi, worth buying.",5,2020-01-11,Positive
Samsung,S20,Performance parvaledu.,3,2020-09-06,Neutral
Oppo,A54,"Ok ok mobile, nothing special.",3,2021-01-23,Neutral
Motorola,G22,Charging time ekkuva padutundi.,1,2023-02-04,Negative
Poco,F5,Display quality next level 🔥,5,2021-06-11,Positive
Nokia,C21,Updates slow ga vastunnayi.,1,2023-01-06,Negative
Samsung,S20,"Design chala attractive ga undi, worth buying.",5,2020-02-25,Positive
Vivo,V17,"Heating issue vachesindi, not good.",2,2021-11-19,Negative
OnePlus,8T,"Battery baaledu, fast drain avutundi.",2,2024-08-29,Negative
Nokia,8.3,Gaming chesthe heat ekkuva avutundi.,1,2022-12-26,Negative
Realme,Realme 6,Camera quality ok but not great.,1,2023-11-23,Negative
Poco,X4,Updates slow ga vastunnayi.,1,2021-12-01,Negative
Vivo,V17,"Camera quality bagundi, especially night mode.",5,2020-10-31,Positive
Poco,X3,"Average performance, normal usage ki saripothundi.",3,2021-07-11,Neutral
OnePlus,8T,"Battery baaledu, fast drain avutundi.",1,2020-06-26,Negative
Samsung,S24,"Performance top notch, lag e ledhu.",4,2023-03-10,Positive
Poco,F3,"Design chala attractive ga undi, worth buying.",5,2024-06-28,Positive
